minuto,bateria_pct,voltaje_mV
0,99,4128
2,99,4126
4,99,4125
6,99,4123
8,98,4122
10,98,4121
12,98,4120
14,98,4119
16,98,4117
18,97,4116
20,97,4115
22,97,4113
24,97,4112
26,97,4111
28,97,4110
30,97,4109
32,96,4107
34,96,4106
36,96,4105
38,96,4105
40,96,4103
42,96,4102
44,96,4100
46,96,4100
48,96,4099
50,95,4098
52,95,4096
54,95,4095
56,95,4095
58,95,4093
60,95,4092
62,95,4090
64,95,4090
66,95,4089
68,95,4088
70,94,4087
72,94,4086
74,94,4086
76,94,4085
78,94,4085
80,94,4083
82,94,4082
84,94,4081
86,94,4081
88,94,4079
90,94,4078
92,93,4078
94,93,4077
96,93,4076
98,93,4075
100,93,4074
102,93,4073
104,93,4072
106,93,4071
108,93,4070
110,93,4069
112,92,4067
114,92,4067
116,92,4066
118,92,4062
120,92,4063
122,92,4063
124,92,4060
126,92,4060
128,92,4058
130,91,4057
132,91,4055
134,91,4055
136,91,4053
138,91,4052
140,91,4050
142,91,4049
144,91,4048
146,90,4046
148,90,4045
150,90,4043
152,90,4041
154,90,4041
156,90,4039
158,90,4039
160,89,4037
162,89,4035
164,89,4034
166,89,4033
168,89,4032
170,89,4030
172,89,4029
174,88,4028
176,88,4026
178,88,4026
180,88,4025
182,88,4023
184,88,4022
186,88,4020
188,87,4019
190,87,4019
192,87,4017
194,87,4017
196,87,4015
198,87,4014
200,87,4013
202,87,4013
204,86,4011
206,86,4010
208,86,4010
210,86,4009
212,86,4008
214,86,4007
216,86,4005
218,86,4006
220,85,4004
222,85,4004
224,85,4002
226,85,4001
228,85,4000
230,85,4000
232,85,3998
234,85,3998
236,85,3997
238,85,3997
240,84,3996
242,84,3995
244,84,3994
246,84,3994
248,84,3993
250,84,3992
252,84,3991
254,84,3990
256,84,3989
258,84,3988
260,83,3988
262,83,3987
264,83,3987
266,83,3985
268,83,3986
270,83,3984
272,83,3984
274,83,3983
276,83,3982
278,83,3981
280,83,3981
282,83,3981
284,82,3980
286,82,3979
288,82,3978
290,82,3977
292,82,3976
294,82,3976
296,82,3975
298,82,3974
300,82,3973
302,82,3972
304,82,3971
306,81,3970
308,81,3969
310,81,3969
312,81,3968
314,81,3967
316,81,3966
318,81,3965
320,81,3964
322,81,3964
324,81,3962
326,81,3962
328,80,3961
330,80,3960
332,80,3959
334,80,3955
336,80,3957
338,80,3956
340,80,3956
342,80,3955
344,80,3954
346,80,3952
348,79,3951
350,79,3951
352,79,3950
354,79,3949
356,79,3948
358,79,3947
360,79,3945
362,79,3945
364,79,3945
366,78,3943
368,78,3942
370,78,3942
372,78,3940
374,78,3939
376,78,3939
378,78,3937
380,78,3936
382,78,3935
384,77,3935
386,77,3933
388,77,3932
390,77,3932
392,77,3931
394,77,3929
396,77,3929
398,76,3928
400,76,3927
402,76,3926
404,76,3924
406,76,3923
408,76,3923
410,76,3921
412,76,3920
414,75,3919
416,75,3917
418,75,3916
420,75,3916
422,75,3915
424,75,3913
426,75,3913
428,74,3912
430,74,3910
432,74,3910
434,74,3909
436,74,3907
438,74,3907
440,74,3905
442,73,3904
444,73,3903
446,73,3902
448,73,3901
450,73,3900
452,73,3899
454,72,3897
456,72,3896
458,72,3895
460,72,3894
462,72,3892
464,72,3891
466,72,3891
468,71,3890
470,71,3888
472,71,3888
474,71,3886
476,71,3886
478,71,3885
480,70,3884
482,70,3883
484,70,3880
486,70,3881
488,70,3881
490,70,3879
492,70,3878
494,69,3877
496,69,3877
498,69,3876
500,69,3875
502,69,3874
504,69,3873
506,69,3873
508,69,3872
510,68,3871
512,68,3870
514,68,3869
516,68,3869
518,68,3868
520,68,3867
522,68,3867
524,68,3865
526,68,3864
528,67,3864
530,67,3864
532,67,3863
534,67,3862
536,67,3861
538,67,3861
540,67,3860
542,67,3860
544,67,3859
546,66,3858
548,66,3857
550,66,3857
552,66,3856
554,66,3856
556,66,3855
558,66,3854
560,66,3853
562,66,3853
564,66,3853
566,66,3852
568,65,3850
570,65,3850
572,65,3850
574,65,3849
576,65,3849
578,65,3848
580,65,3847
582,65,3847
584,65,3846
586,65,3846
588,65,3845
590,64,3845
592,64,3844
594,64,3843
596,64,3844
598,64,3843
600,64,3842
602,64,3842
604,64,3841
606,64,3841
608,64,3840
610,64,3839
612,64,3839
614,64,3839
616,64,3838
618,63,3837
620,63,3837
622,63,3837
624,63,3836
626,63,3836
628,63,3835
630,63,3834
632,63,3835
634,63,3834
636,63,3834
638,63,3833
640,63,3833
642,63,3832
644,63,3832
646,62,3831
648,62,3830
650,62,3830
652,62,3830
654,62,3829
656,62,3829
658,62,3829
660,62,3828
662,62,3827
664,62,3827
666,62,3827
668,62,3827
670,62,3825
672,62,3826
674,62,3825
676,62,3824
678,61,3824
680,61,3824
682,61,3823
684,61,3822
686,61,3822
688,61,3821
690,61,3821
692,61,3821
694,61,3821
696,61,3820
698,61,3819
700,61,3819
702,61,3819
704,61,3819
706,61,3818
708,61,3818
710,60,3817
712,60,3817
714,60,3816
716,60,3816
718,60,3815
720,60,3815
722,60,3814
724,60,3814
726,60,3813
728,60,3813
730,60,3813
732,60,3813
734,60,3812
736,60,3812
738,60,3812
740,60,3811
742,60,3811
744,60,3810
746,59,3810
748,59,3809
750,59,3809
752,59,3809
754,59,3809
756,59,3809
758,59,3808
760,59,3808
762,59,3807
764,59,3806
766,59,3806
768,59,3805
770,59,3806
772,59,3805
774,59,3805
776,59,3804
778,59,3804
780,58,3803
782,58,3803
784,58,3802
786,58,3802
788,58,3802
790,58,3801
792,58,3801
794,58,3801
796,58,3800
798,58,3800
800,58,3800
802,58,3799
804,57,3799
806,57,3799
808,57,3798
810,57,3798
812,57,3798
814,57,3798
816,57,3797
818,57,3796
820,57,3797
822,57,3796
824,57,3796
826,56,3796
828,56,3795
830,56,3795
832,56,3795
834,56,3795
836,56,3794
838,56,3794
840,56,3793
842,56,3793
844,56,3792
846,56,3792
848,55,3792
850,55,3791
852,55,3791
854,55,3791
856,55,3791
858,55,3790
860,55,3790
862,55,3789
864,55,3789
866,55,3789
868,55,3789
870,54,3787
872,54,3788
874,54,3788
876,54,3787
878,54,3786
880,54,3787
882,54,3785
884,54,3786
886,54,3785
888,54,3786
890,53,3784
892,53,3784
894,53,3783
896,53,3783
898,53,3783
900,53,3783
902,53,3782
904,53,3781
906,53,3781
908,52,3781
910,52,3781
912,52,3780
914,52,3780
916,52,3780
918,52,3779
920,52,3779
922,52,3779
924,52,3778
926,52,3778
928,51,3778
930,51,3778
932,51,3777
934,51,3777
936,51,3777
938,51,3775
940,51,3776
942,51,3776
944,51,3775
946,51,3774
948,50,3774
950,50,3774
952,50,3774
954,50,3773
956,50,3773
958,50,3772
960,50,3772
962,50,3771
964,50,3771
966,50,3771
968,49,3772
970,49,3771
972,49,3771
974,49,3771
976,49,3770
978,49,3769
980,49,3769
982,49,3768
984,49,3769
986,48,3768
988,48,3768
990,48,3767
992,48,3767
994,48,3767
996,48,3765
998,48,3766
1000,48,3765
1002,47,3765
1004,47,3765
1006,47,3764
1008,47,3763
1010,47,3764
1012,47,3764
1014,47,3764
1016,46,3762
1018,46,3762
1020,46,3761
1022,46,3761
1024,46,3761
1026,45,3761
1028,45,3760
1030,45,3760
1032,45,3759
1034,45,3759
1036,45,3758
1038,44,3758
1040,44,3758
1042,44,3756
1044,44,3756
1046,43,3755
1048,43,3755
1050,43,3755
1052,43,3755
1054,43,3754
1056,42,3754
1058,42,3752
1060,42,3753
1062,42,3752
1064,41,3752
1066,41,3752
1068,41,3751
1070,41,3751
1072,40,3751
1074,40,3750
1076,40,3750
1078,40,3749
1080,39,3749
1082,39,3749
1084,39,3749
1086,39,3748
1088,38,3749
1090,38,3748
1092,38,3747
1094,37,3747
1096,37,3747
1098,37,3745
1100,37,3745
1102,36,3745
1104,36,3745
1106,36,3745
1108,35,3744
1110,35,3744
1112,35,3743
1114,35,3742
1116,34,3743
1118,34,3742
1120,34,3741
1122,34,3740
1124,33,3739
1126,33,3740
1128,33,3739
1130,32,3739
1132,32,3738
1134,32,3738
1136,32,3737
1138,31,3736
1140,31,3736
1142,31,3735
1144,31,3735
1146,30,3734
1148,30,3733
1150,30,3733
1152,30,3732
1154,29,3732
1156,29,3730
1158,29,3730
1160,29,3729
1162,29,3728
1164,28,3729
1166,28,3726
1168,28,3727
1170,28,3725
1172,28,3725
1174,27,3724
1176,27,3724
1178,27,3723
1180,27,3723
1182,27,3722
1184,27,3722
1186,27,3721
1188,26,3720
1190,26,3720
1192,26,3719
1194,26,3718
1196,26,3718
1198,26,3717
1200,26,3717
1202,25,3715
1204,25,3715
1206,25,3715
1208,25,3714
1210,25,3713
1212,25,3712
1214,25,3712
1216,25,3710
1218,25,3710
1220,24,3710
1222,24,3709
1224,24,3707
1226,24,3706
1228,24,3706
1230,24,3704
1232,24,3704
1234,24,3703
1236,24,3702
1238,24,3701
1240,23,3700
1242,23,3699
1244,23,3699
1246,23,3698
1248,23,3697
1250,23,3696
1252,23,3696
1254,23,3696
1256,23,3695
1258,23,3695
1260,22,3694
1262,22,3695
1264,22,3694
1266,22,3694
1268,22,3694
1270,22,3694
1272,22,3694
1274,22,3693
1276,22,3693
1278,22,3692
1280,22,3692
1282,22,3691
1284,22,3691
1286,22,3691
1288,22,3690
1290,22,3690
1292,22,3690
1294,22,3690
1296,22,3690
1298,22,3690
1300,22,3690
1302,22,3689
1304,22,3689
1306,22,3688
1308,22,3688
1310,22,3688
1312,22,3688
1314,22,3687
1316,22,3687
1318,21,3686
1320,21,3686
1322,21,3685
1324,21,3685
1326,21,3684
1328,21,3683
1330,21,3683
1332,21,3682
1334,21,3681
1336,21,3681
1338,21,3680
1340,21,3679
1342,21,3678
1344,21,3677
1346,21,3676
1348,21,3674
1350,21,3672
1352,21,3670
1354,20,3668
1356,20,3665
1358,20,3662
1360,20,3658
1362,20,3655
1364,20,3651
1366,19,3647
1368,19,3644
1370,19,3639
1372,19,3634
1374,19,3630
1376,18,3626
1378,18,3621
1380,18,3616
1382,18,3611
1384,17,3605
1386,17,3600
1388,17,3595
1390,16,3589
1392,16,3583
1394,16,3577
1396,15,3570
1398,15,3563
1400,15,3556
1402,14,3550
1404,14,3541
1406,13,3535
1408,13,3525
1410,12,3517
1412,12,3507
1414,11,3499
1416,11,3489
1418,10,3480
1420,9,3468
1422,9,3458
1424,8,3446
1426,7,3434
1428,6,3422
1430,5,3408
1432,4,3393
1434,3,3380
1436,2,3361
1438,2,3343
